"","screen_name","text","link","date","year","week","dmy","rt_user","hashtags"
"1","@vollgeld_nein","RT @LeroyBaechtold: Das Vollgeld treibt unsere KMU-Wirtschaft in den Ruin.
#VollgeldNein #abst18 #CHvote #vollgeld @Jungfreisinnige https://t.co/jZXRHsVl9l","http://twitter.com/vollgeld_nein/status/987054158552424450",2018-04-19 21:43:00,2018,16,2018-04-19,"RT @LeroyBaechtold:","c(""#vollgeldnein "", ""#abst18 "", ""#chvote "", ""#vollgeld "")"
"2","@NerdyGerdyMan","RT @Seven4wakeup: Pispers in Höchstform <f0><U+009F><U+0098><U+0083><f0><U+009F><U+0091><U+008D>
#Banken, #Geldschöpfung und #Schulden, einfach erklärt. Viel Vergnügen!
#abst18 #CHvote #Vollgeld #Vollgeldinitiative #VGI https://t.co/9BpoiPukbg","http://twitter.com/NerdyGerdyMan/status/987055586545192961",2018-04-19 21:49:00,2018,16,2018-04-19,"RT @Seven4wakeup:","c(""#banken, "", ""#geldschöpfung "", ""#schulden, "", ""#abst18 "", ""#chvote "", ""#vollgeld "", ""#vollgeldinitiative "", ""#vgi "")"
"3","@KommandoMensch","RT @Seven4wakeup: Pispers in Höchstform <f0><U+009F><U+0098><U+0083><f0><U+009F><U+0091><U+008D>
#Banken, #Geldschöpfung und #Schulden, einfach erklärt. Viel Vergnügen!
#abst18 #CHvote #Vollgeld #Vollgeldinitiative #VGI https://t.co/9BpoiPukbg","http://twitter.com/KommandoMensch/status/987056264424448000",2018-04-19 21:52:00,2018,16,2018-04-19,"RT @Seven4wakeup:","c(""#banken, "", ""#geldschöpfung "", ""#schulden, "", ""#abst18 "", ""#chvote "", ""#vollgeld "", ""#vollgeldinitiative "", ""#vgi "")"
"4","@Besserwissender","RT @Seven4wakeup: Pispers in Höchstform <f0><U+009F><U+0098><U+0083><f0><U+009F><U+0091><U+008D>
#Banken, #Geldschöpfung und #Schulden, einfach erklärt. Viel Vergnügen!
#abst18 #CHvote #Vollgeld #Vollgeldinitiative #VGI https://t.co/9BpoiPukbg","http://twitter.com/Besserwissender/status/987056475888607232",2018-04-19 21:52:00,2018,16,2018-04-19,"RT @Seven4wakeup:","c(""#banken, "", ""#geldschöpfung "", ""#schulden, "", ""#abst18 "", ""#chvote "", ""#vollgeld "", ""#vollgeldinitiative "", ""#vgi "")"
"5","@chpolit","Alles voll Geld #vollgeldinitiative","http://twitter.com/chpolit/status/987056926251986944",2018-04-19 21:54:00,2018,16,2018-04-19,NA,"#vollgeldinitiative"
"6","@X_crossss","RT @LeroyBaechtold: Das Vollgeld treibt unsere KMU-Wirtschaft in den Ruin.
#VollgeldNein #abst18 #CHvote #vollgeld @Jungfreisinnige https://t.co/jZXRHsVl9l","http://twitter.com/X_crossss/status/987060946379116549",2018-04-19 22:10:00,2018,16,2018-04-19,"RT @LeroyBaechtold:","c(""#vollgeldnein "", ""#abst18 "", ""#chvote "", ""#vollgeld "")"
"7","@stocki363","RT @Seven4wakeup: Pispers in Höchstform <f0><U+009F><U+0098><U+0083><f0><U+009F><U+0091><U+008D>
#Banken, #Geldschöpfung und #Schulden, einfach erklärt. Viel Vergnügen!
#abst18 #CHvote #Vollgeld #Vollgeldinitiative #VGI https://t.co/9BpoiPukbg","http://twitter.com/stocki363/status/987063218945261568",2018-04-19 22:19:00,2018,16,2018-04-19,"RT @Seven4wakeup:","c(""#banken, "", ""#geldschöpfung "", ""#schulden, "", ""#abst18 "", ""#chvote "", ""#vollgeld "", ""#vollgeldinitiative "", ""#vgi "")"
"8","@Tobias_Hendry","RT @Tobias_Hendry: @ReneTruninger @welt Was sagt den der #IWF zur #Vollgeldinitiative? 
https://t.co/1M2BztUN9s

#abst18 #CHvote #vollgeld #vgi https://t.co/zessQja7j5","http://twitter.com/Tobias_Hendry/status/987081537454837760",2018-04-19 23:32:00,2018,16,2018-04-19,"RT @Tobias_Hendry:","c(""#iwf "", ""#vollgeldinitiative? "", ""#abst18 "", ""#chvote "", ""#vollgeld "", ""#vgi "")"
"9","@wahlch15","RT @Seven4wakeup: Pispers in Höchstform <f0><U+009F><U+0098><U+0083><f0><U+009F><U+0091><U+008D>
#Banken, #Geldschöpfung und #Schulden, einfach erklärt. Viel Vergnügen!
#abst18 #CHvote #Vollgeld #Vollgeldinitiative #VGI https://t.co/9BpoiPukbg","http://twitter.com/wahlch15/status/987085384059416577",2018-04-19 23:47:00,2018,16,2018-04-19,"RT @Seven4wakeup:","c(""#banken, "", ""#geldschöpfung "", ""#schulden, "", ""#abst18 "", ""#chvote "", ""#vollgeld "", ""#vollgeldinitiative "", ""#vgi "")"
"10","@Baeumel","RT @Seven4wakeup: Pispers in Höchstform <f0><U+009F><U+0098><U+0083><f0><U+009F><U+0091><U+008D>
#Banken, #Geldschöpfung und #Schulden, einfach erklärt. Viel Vergnügen!
#abst18 #CHvote #Vollgeld #Vollgeldinitiative #VGI https://t.co/9BpoiPukbg","http://twitter.com/Baeumel/status/987173839623868418",2018-04-20 05:39:00,2018,16,2018-04-20,"RT @Seven4wakeup:","c(""#banken, "", ""#geldschöpfung "", ""#schulden, "", ""#abst18 "", ""#chvote "", ""#vollgeld "", ""#vollgeldinitiative "", ""#vgi "")"
